City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mersing,24,MY,1554327629,96,2.43,103.84,77.94,3.15
kutum,0,SD,1554327630,22,14.2,24.66,64.08,9.42
shache,0,CN,1554327632,63,38.42,77.24,40.95,2.15
pitimbu,88,BR,1554327633,93,-7.47,-34.81,82.8,7.4
manta,92,RO,1554327624,41,45.1,24.1,42.12,8.41
omsukchan,80,RU,1554327635,85,62.53,155.8,22.68,4.83
zuenoula,0,CI,1554327637,83,7.43,-6.04,77.94,7.74
broome,8,GB,1554327630,93,52.47,1.45,39.2,4.7
robertsport,56,LR,1554327640,100,6.75,-11.37,79.56,5.39
karachi,0,PK,1554324900,65,24.87,67.03,78.8,6.93
richards bay,8,ZA,1554327643,87,-28.77,32.06,70.92,12.1
luanda,20,AO,1554325200,83,-8.83,13.24,82.4,5.82
miyako,20,JP,1554327617,52,33.63,130.94,46.99,4.7
tyukhtet,68,RU,1554327647,71,56.54,89.31,22.05,2.93
mutoko,0,ZW,1554327648,89,-17.4,32.23,59.76,3.6
mitu,32,IR,1554327650,91,36.2,46.09,29.16,2.26
vila do maio,40,CV,1554325200,64,15.13,-23.22,71.6,16.11
noyabrsk,36,RU,1554327652,78,63.2,75.45,19.98,9.75
abu dhabi,0,AE,1554325200,44,24.47,54.37,80.6,5.82
magistralnyy,68,RU,1554327655,68,56.17,107.45,25.47,7.74
sri aman,88,MY,1554325200,100,1.24,111.46,73.4,0.47
zhengjiatun,64,CN,1554327658,62,43.51,123.51,34.92,4.72
nalut,0,LY,1554327660,59,31.86,10.98,62.82,8.3
benghazi,68,LY,1554327661,100,32.12,20.07,61.02,13.44
karratha,0,AU,1554327662,65,-20.74,116.85,74.25,10.76
lyubech,76,UA,1554327664,57,51.7,30.66,36.63,4.05
san rafael,0,AR,1554327665,22,-34.61,-68.33,86.49,6.62
rio grande,20,BR,1554325200,83,-32.03,-52.1,75.2,11.41
kodinsk,48,RU,1554327668,62,58.6,99.18,27.63,7.63
simplicio mendes,12,BR,1554327669,61,-7.85,-41.91,84.06,5.61
fjerritslev,56,DK,1554327604,89,57.08,9.27,46.0,7.0
axim,12,GH,1554327672,96,4.87,-2.24,84.24,11.77
edd,32,ER,1554327673,87,13.93,41.69,72.0,2.59
kudahuvadhoo,0,MV,1554327675,100,2.67,72.89,82.98,4.5
alanya,40,TR,1554324600,93,36.55,32.0,50.0,4.7
gravelbourg,76,CA,1554327677,48,49.88,-106.56,47.88,17.25
marsa matruh,0,EG,1554327679,88,31.35,27.25,50.67,6.4
road town,20,VG,1554327602,61,18.42,-64.62,82.4,11.41
ayan,88,TR,1554327681,79,40.67,33.6,37.44,2.04
turan,36,RU,1554327683,72,52.15,93.92,19.89,2.71
talnakh,68,RU,1554327684,87,69.49,88.39,17.19,4.16
nova granada,0,BR,1554325200,40,-20.53,-49.32,86.0,3.36
warrington,20,GB,1554327674,93,53.39,-2.59,39.99,10.29
daloa,0,CI,1554327688,92,6.88,-6.45,74.88,3.38
portland,90,US,1554326861,55,45.52,-122.67,62.01,14.99
norman wells,40,CA,1554325200,59,65.28,-126.83,3.2,20.8
slonim,0,BY,1554327692,51,53.09,25.32,37.26,12.44
port-cartier,90,CA,1554327503,92,50.03,-66.88,28.99,16.11
goderich,0,CA,1554327654,54,43.74,-81.71,44.01,20.0
constitucion,5,MX,1554327615,9,23.99,-104.67,77.0,13.87
fort nelson,90,CA,1554325200,78,58.81,-122.69,15.8,11.41
kamenka,80,RU,1554327699,88,53.19,44.05,31.95,15.23
chingirlau,80,KZ,1554327700,94,51.09,54.08,40.95,8.75
puerto concordia,0,CO,1554327701,48,2.62,-72.76,88.38,6.96
alexandria,75,US,1554327649,28,31.31,-92.44,75.2,13.87
ouadda,0,CF,1554327704,23,8.07,22.4,83.34,12.33
jiuquan,0,CN,1554327706,71,39.73,98.49,26.1,4.38
ipua,44,BR,1554327708,53,-20.44,-48.01,82.62,6.17
blyth,75,GB,1554327665,93,55.12,-1.5,43.0,9.17
ca mau,20,VN,1554327618,97,9.18,105.15,77.85,4.94
nago,75,IT,1554327671,76,45.88,10.89,55.99,9.17
george town,75,MY,1554325200,94,5.42,100.33,78.8,2.24
viedma,76,AR,1554327652,28,-40.81,-62.99,78.12,19.15
kenai,1,US,1554327436,36,60.55,-151.26,46.0,13.87
la ronge,75,CA,1554325200,48,55.1,-105.3,21.2,10.29
chimbote,44,PE,1554327718,92,-9.08,-78.59,72.0,9.19
ziyang,92,CN,1554327720,82,30.12,104.65,55.8,7.4
alice town,0,BS,1554327721,100,25.72,-79.3,75.78,17.36
garden city,1,US,1554327449,22,40.73,-73.63,66.2,18.34
beyneu,92,KZ,1554327724,91,45.32,55.19,44.37,15.12
havelock,1,US,1554327691,48,34.88,-76.9,69.01,11.41
vincennes,1,US,1554327612,27,38.68,-87.53,66.0,4.94
port lincoln,12,AU,1554327728,93,-34.72,135.86,64.98,10.31
camacha,40,PT,1554327000,77,33.08,-16.33,60.8,16.11
grants pass,90,US,1554327511,48,42.44,-123.33,63.0,3.36
grand baie,75,MU,1554327543,94,-20.02,57.58,77.0,3.36
bulgan,0,MN,1554327733,44,48.81,103.53,37.35,7.74
awbari,32,LY,1554327735,47,26.59,12.77,66.42,8.41
qixingtai,92,CN,1554327680,85,30.41,111.89,55.99,3.49
turukhansk,80,RU,1554327737,93,65.8,87.96,19.35,6.62
araceli,0,PH,1554327739,97,10.55,119.99,81.63,18.59
oskaloosa,20,US,1554327739,42,39.22,-95.31,68.0,16.11
kushima,20,JP,1554326546,100,31.5,131.29,42.8,9.17
jizan,0,SA,1554325200,69,16.89,42.56,82.4,6.93
sudak,0,UA,1554327744,100,44.85,34.97,32.31,2.82
nagayo,20,JP,1554326546,81,32.82,129.89,42.8,3.36
te anau,76,NZ,1554327747,81,-45.41,167.72,49.05,6.62
saint-pierre,0,FR,1554327725,93,48.95,4.24,41.0,11.41
kargopol,0,RU,1554327750,70,61.51,38.95,18.54,5.17
reitz,36,ZA,1554327751,96,-27.8,28.43,54.72,3.38
atok,64,PH,1554327753,97,16.63,120.77,66.42,2.15
sungairaya,32,ID,1554327754,93,0.7,108.9,76.41,1.92
samarai,80,PG,1554327755,100,-10.62,150.67,77.94,6.73
uspenskoye,0,RU,1554327063,76,44.83,41.38,37.4,8.95
urbino,20,IT,1554327749,62,43.73,12.64,57.2,6.93
aktau,75,KZ,1554325200,100,43.65,51.16,44.6,11.18
caravelas,12,BR,1554327761,100,-17.73,-39.27,81.27,9.42
sechura,24,PE,1554327762,68,-5.56,-80.82,81.27,12.1
sibolga,68,ID,1554327764,100,1.74,98.78,70.02,1.59
jonkoping,0,SE,1554327042,60,57.78,14.16,44.6,4.7
saint-leu,75,RE,1554327617,69,-21.15,55.28,80.6,16.11
nahavand,0,IR,1554325200,70,34.19,48.37,42.8,2.24
yumen,0,CN,1554327769,45,40.29,97.04,37.89,9.19
kupang,80,ID,1554327770,100,-10.16,123.6,79.2,3.49
sao pedro do sul,12,BR,1554327771,65,-29.62,-54.18,80.64,2.59
maragogi,0,BR,1554327773,85,-9.01,-35.22,80.1,5.28
losal,0,IN,1554327775,40,27.4,74.92,68.31,2.93
neiafu,40,TO,1554325200,78,-18.65,-173.98,80.6,8.05
yeniseysk,0,RU,1554327778,80,58.45,92.17,16.65,3.71
aitape,80,PG,1554327779,99,-3.15,142.36,80.01,6.17
chimoio,20,MZ,1554325200,93,-19.11,33.48,66.2,4.7
ngunguru,8,NZ,1554327484,83,-35.62,174.5,64.0,16.46
kindu,0,CD,1554327783,88,-2.95,25.92,76.68,2.04
tilichiki,92,RU,1554327785,87,60.47,166.1,33.57,13.89
mumford,12,GH,1554327786,80,5.26,-0.76,82.17,9.08
chicama,20,PE,1554325200,83,-7.84,-79.15,69.8,11.41
cap-aux-meules,90,CA,1554326220,85,47.38,-61.86,32.0,27.51
port-gentil,20,GA,1554325200,83,-0.72,8.78,82.4,5.82
atbasar,0,KZ,1554327791,95,51.81,68.36,41.94,6.62
parauna,36,ID,1554327792,96,-3.82,122.09,69.3,1.81
sisimiut,68,GL,1554327759,96,66.94,-53.67,13.23,11.65
ponorogo,56,ID,1554327795,97,-7.87,111.46,68.94,2.37
mana,40,RS,1554327000,66,43.52,20.24,53.6,11.41
gualaquiza,48,EC,1554327797,89,-3.4,-78.58,72.18,1.59
guadalupe y calvo,0,MX,1554327799,14,26.09,-106.96,69.84,3.83
